model,section,n_days,base_ret_mean,model_ret_mean,gate_mean,reduced_exposure_ratio,full_exposure_ratio,protection_mean
Riemannian-PPO Gate,worst20_base_days,20,-0.10433872071749606,-0.05698323686754518,0.5599999999999999,0.55,0.45,-0.047355483849950857
Riemannian-PPO Gate,best20_base_days,20,0.31185022451160715,0.2664957512730472,0.8800000000000001,0.15,0.85,0.045354473238559886
Current PG Gate,worst20_base_days,20,-0.10433872071749606,-0.0579105537542511,0.5599999999999999,0.55,0.45,-0.04642816696324495
Current PG Gate,best20_base_days,20,0.31185022451160715,0.28761408800172145,0.9099999999999999,0.15,0.85,0.02423613650988565
PPO Gate,worst20_base_days,20,-0.10433872071749606,-0.0579105537542511,0.5599999999999999,0.55,0.45,-0.04642816696324495
PPO Gate,best20_base_days,20,0.31185022451160715,0.275044116645206,0.8800000000000001,0.25,0.75,0.03680610786640111
