group,model,protocol,n_days,mean_ret,ann_sharpe_like,max_drawdown_like,positive_day_ratio,effective_n_mean,effective_n_median,top1_weight_mean,top3_weight_mean,top5_weight_mean,herfindahl_mean,max_weight_mean,max_weight_p95,turnover_mean,day_turnover_mean,std_ret,ann_ret_like,gate_mean,capital_exposure_mean,normalized_effective_n_p10,normalized_effective_n_p50,normalized_effective_n_p90,normalized_effective_n_p95,normalized_max_weight_p10,normalized_max_weight_p50,normalized_max_weight_p90,normalized_max_weight_p95,n_nonzero_1bp_mean,n_nonzero_10bp_mean,n_nonzero_1pct_mean,concentration_note,paper_interpretation
Ours Final,Riemannian-PPO Gate,Riemannian-PPO exposure overlay reconstructed on V2X-B holdings,557,0.041234,3.108282,-0.554269,0.61939,3.254705,,0.459691,0.885037,0.968071,0.393388,0.459691,,,,0.094179,2.078214,0.759066,0.379533,1.426331,2.903605,5.409655,6.421794,0.24006,0.408948,0.817147,0.931706,6.308797,5.567325,4.610413,Riemannian-PPO rescales exposure without reselecting stocks; normalized concentration is inherited from V2X-B.,"Although nominally Top30, the base controller is highly concentrated: low effective holding number and high top-3/top-5 weight explain its large drawdown."
Ours diagnostic,V2X-G Cross-Geometry Overlay,geometry overlay diagnostic,557,0.029842,3.111977,-0.470449,0.653501,6.110173,,0.142743,,,,,,0.727878,,,,,,,,,,,,,,,,,,"Geometry overlay improves breadth/effective holding number and reduces concentration, at the cost of lower raw return."
Intermediate controller,V2R role-aware TopK30,intermediate frozen test,547,0.019314,3.359661,-0.292555,0.680073,,,,,,,,,0.662193,,,,,,,,,,,,,,,,,,
Single expert,V2L Frequency-aware Temporal,temporal-only TopK,557,0.011933,2.449636,-0.570137,0.660682,,,,,,,,,0.685928,,,,,,,,,,,,,,,,,,
Single expert,V2H Factor Tree,cross-section-only TopK,557,0.009769,2.091605,-0.596877,0.631957,,,,,,,,,0.705722,,,,,,,,,,,,,,,,,,
Ours,V2X-B Cross Action Admission,ledger-consistent concentration,557,0.041234,3.108282,-0.554269,0.61939,3.254705,,0.459691,0.885037,0.968071,0.393388,0.459691,,,,0.094179,2.078214,1.0,0.5,1.426331,2.903605,5.409655,6.421794,0.24006,0.408948,0.817147,0.931706,6.308797,5.567325,4.610413,Base selected portfolio; strong hidden concentration despite nominal Top30.,"Although nominally Top30, the base controller is highly concentrated: low effective holding number and high top-3/top-5 weight explain its large drawdown."
Ours,V2X-RL+ five-level exposure,RL exposure overlay reconstructed on V2X-B holdings,557,0.040982,3.355302,-0.289683,0.61939,3.254705,,0.459691,0.885037,0.968071,0.393388,0.459691,,,,0.086712,2.0655,0.824776,0.412388,1.426331,2.903605,5.409655,6.421794,0.24006,0.408948,0.817147,0.931706,6.308797,5.567325,4.610413,"RL does not reselect stocks; normalized concentration is inherited from V2X-B, while capital exposure is reduced by gate.","RL overlay does not reselect stocks; normalized concentration is inherited from V2X-B, but average capital exposure is reduced through the gate."
