group,model,paper_role,n_days,mean_ret,std_ret,ann_ret_like,ann_sharpe_like,sortino_like,calmar_like,max_drawdown_like,worst_5pct_day_mean,positive_day_ratio,gate_mean,turnover_mean
Ours Final,Riemannian-PPO Gate,Risk-regularized Riemannian-PPO exposure controller,557,0.04006286773624636,0.08262573985171011,2.019168533906816,3.442246287311091,11.578491270693624,6.67024053325865,-0.3027130017034604,-0.07563268406173952,0.6193895870736086,0.7590664272890485,
Ours Ablation,Current PG Gate,Lightweight policy-gradient exposure gate,557,0.04098213768295932,0.08671180401567095,2.0654997392211496,3.355302300072686,11.332188375628267,7.130202180453109,-0.2896831936804759,-0.07922299585079783,0.6193895870736086,0.8247755834829443,
Ours Ablation,PPO Gate,Vanilla PPO exposure gate,557,0.03891474368796459,0.08288999946114485,1.9613030818734152,3.332938543518108,10.765518799667756,5.621640459933907,-0.3488844752438106,-0.07885758570350083,0.6193895870736086,0.7971274685816876,
Ours Base,V2X-B Base,Cross-sectional action-admission portfolio before exposure control,557,0.041234399192258984,0.09417909980668125,2.078213719289853,3.1082819342761634,9.76733788804074,3.749469763766922,-0.5542686967028548,-0.09614770654202824,0.6193895870736086,1.0,0.7272895604549978
Ours Diagnostic,V2X-G Geometry Overlay,Geometry/concentration diagnostic overlay,557,0.029842119281922087,0.06807827810351645,1.5040428118088731,3.111976921040967,8.89185266416263,3.197036832410804,-0.4704490097083782,-0.07243697270613285,0.6535008976660682,,0.7278775521835379
Intermediate controller,V2R role-aware TopK30,Role-aware router reference,547,0.019313599083768153,0.04081154291537754,0.9734053938219149,3.3596610639874425,9.366163332632395,3.3272571405991394,-0.2925549041414436,-0.044272525909650515,0.680073126142596,,0.6621927543232533
Single expert,V2L Frequency-aware Temporal,Temporal candidate discovery,557,0.011932634358252831,0.0345819905943481,0.6014047716559426,2.4496363224683897,4.023520298843088,1.0548418527449122,-0.5701373813439101,-0.05803418978727131,0.6606822262118492,,0.685928355859778
Single expert,V2H Factor Tree,Cross-sectional action scorer,557,0.00976939836526348,0.03315914616627122,0.49237767760927936,2.091605370245792,3.6474009570430925,0.8249233189534945,-0.596876905157578,-0.05600931002444338,0.6319569120287253,,0.7057222816098746
Single expert,V2M MASTER-style,Market-body transformer-style expert,557,0.008835214624976266,0.03145535637356829,0.4452948170988038,1.994057889590726,3.4865351063330867,0.8325041752348368,-0.5348859865756144,-0.054583129264028106,0.6140035906642729,,0.7031940133756248
Single expert,V2N StockMixer-style,Market-body mixer-style expert,557,0.008806738674634607,0.032932116955658106,0.44385962920158417,1.8985005560936117,3.4942072855869424,0.8790303626727768,-0.5049423183199111,-0.05499943699187452,0.6050269299820467,,0.7801543340269319
Traditional factor,V2J RankIC Linear,Traditional interpretable factor anchor,557,0.002249061160230931,0.018144691990818602,0.11335268247563893,0.8799681097521783,1.1229088217927687,0.2474959296940102,-0.45799816835687635,-0.04135888452608085,0.6014362657091562,,0.4708309287864553
Official foundation baseline,Kronos-small official frozen,Official frozen foundation baseline,557,0.0016172645255259682,0.02000839507333812,0.0815101320865088,0.5738310900990486,0.9386312089857737,0.21310386569405723,-0.3824901618796953,-0.04016229809713555,0.5206463195691203,,0.126563383614401
Official foundation baseline,TimeMoE-50M official frozen,Official frozen foundation baseline,557,-0.014835822483880406,0.0385045015089461,-0.7477254531875724,-2.7353656644685214,-4.097616868770404,-0.7478384390896436,-0.9998489166962201,-0.09377286860667755,0.35547576301615796,,0.6498582788352785
Official foundation baseline,Chronos-Bolt official frozen,Official frozen foundation baseline,557,-0.01708996903460925,0.03747732903669985,-0.8613344393443062,-3.2373370108774435,-4.6846685416839895,-0.8613740293539713,-0.9999540385380613,-0.09430072737076999,0.31956912028725315,,0.7678055596677867
