Date,base_delay_ret,gate,ret
2024-01-03,-0.0677685882385134,1.0,-0.0677685882385134
2024-01-04,-0.0096914131453282,0.2,-0.0019382826290656402
2024-01-05,0.0185681498138941,1.0,0.0185681498138941
2024-01-08,0.0446463855206936,1.0,0.0446463855206936
2024-01-09,0.0787453405116603,1.0,0.0787453405116603
2024-01-10,0.0838807973116988,1.0,0.0838807973116988
2024-01-11,-0.0136811867916782,0.2,-0.00273623735833564
2024-01-12,0.1012953806877387,1.0,0.1012953806877387
2024-01-15,0.0636448195905894,1.0,0.0636448195905894
2024-01-16,-0.1074002973318664,0.2,-0.021480059466373283
2024-01-17,0.2141577280068298,1.0,0.2141577280068298
2024-01-18,0.1605400517063626,1.0,0.1605400517063626
2024-01-19,0.0437393196056941,1.0,0.0437393196056941
2024-01-22,-0.0154587704801947,0.2,-0.00309175409603894
2024-01-23,-0.1070730984213614,0.2,-0.02141461968427228
2024-01-24,0.0265751679248545,1.0,0.0265751679248545
2024-01-25,-0.0151716030139458,1.0,-0.0151716030139458
2024-01-26,-0.0268031269831963,0.2,-0.0053606253966392604
2024-01-29,-0.0271870393667369,0.2,-0.0054374078733473805
2024-01-30,-0.0472180867493887,0.2,-0.009443617349877741
2024-01-31,-0.1422722709328655,0.2,-0.028454454186573105
2024-02-01,-0.148422690953796,0.2,-0.029684538190759203
2024-02-02,0.0372725880708301,1.0,0.0372725880708301
2024-02-05,-0.0302128854519503,0.2,-0.00604257709039006
2024-02-06,0.0858784404930716,1.0,0.0858784404930716
2024-02-07,0.06636947249297,1.0,0.06636947249297
2024-02-08,0.1260826800186104,1.0,0.1260826800186104
2024-02-19,0.1958650945738301,1.0,0.1958650945738301
2024-02-20,0.2786361918903932,1.0,0.2786361918903932
2024-02-21,0.2844603304012086,1.0,0.2844603304012086
2024-02-22,0.0283324723962442,1.0,0.0283324723962442
2024-02-23,0.0749912313849015,1.0,0.0749912313849015
2024-02-26,0.0388877382843355,1.0,0.0388877382843355
2024-02-27,0.0162629048942012,1.0,0.0162629048942012
2024-02-28,0.1631413427441809,1.0,0.1631413427441809
2024-02-29,0.1180246412525778,1.0,0.1180246412525778
2024-03-01,0.0260347989716107,1.0,0.0260347989716107
2024-03-04,0.1662138766794919,1.0,0.1662138766794919
2024-03-05,0.1109952049349939,1.0,0.1109952049349939
2024-03-06,0.0306637415227744,0.2,0.006132748304554881
2024-03-07,-0.0145507104556241,0.2,-0.0029101420911248205
2024-03-08,-0.0394009316324228,0.2,-0.00788018632648456
2024-03-11,0.0315591126173002,0.2,0.00631182252346004
2024-03-12,0.08104232566874,1.0,0.08104232566874
2024-03-13,0.0294034494020469,1.0,0.0294034494020469
2024-03-14,0.0075851950850229,0.2,0.00151703901700458
2024-03-15,-0.049212035110875,0.2,-0.009842407022175
2024-03-18,0.023924338870213,1.0,0.023924338870213
2024-03-19,-0.056950144154313,0.2,-0.011390028830862601
2024-03-20,0.0202348616623533,1.0,0.0202348616623533
2024-03-21,-0.0750708495314117,0.2,-0.015014169906282342
2024-03-22,-0.0720026317499447,0.2,-0.014400526349988941
2024-03-25,0.052949829434388,1.0,0.052949829434388
2024-03-26,0.0236629696596524,1.0,0.0236629696596524
2024-03-27,0.1394328566578455,1.0,0.1394328566578455
2024-03-28,-0.0757745850010833,0.2,-0.015154917000216662
2024-03-29,-0.0351634823807698,0.2,-0.007032696476153961
2024-04-01,-0.0273363524718501,0.2,-0.00546727049437002
2024-04-02,0.0498696099043942,1.0,0.0498696099043942
2024-04-03,-0.0259890028175772,0.6,-0.01559340169054632
2024-04-08,-0.0499981418753541,0.2,-0.00999962837507082
2024-04-09,-0.0316580853802488,0.2,-0.0063316170760497606
2024-04-10,-0.0881110242536595,0.2,-0.0176222048507319
2024-04-11,-0.0342831076538606,0.2,-0.00685662153077212
2024-04-12,-0.066721159798086,0.2,-0.013344231959617201
2024-04-15,-0.129472183434863,0.2,-0.0258944366869726
2024-04-16,-0.0352684018734244,0.2,-0.00705368037468488
2024-04-17,-0.0033986364331552,0.2,-0.0006797272866310401
2024-04-18,-0.0031751065985212,0.2,-0.00063502131970424
2024-04-19,-0.0269979198936831,0.2,-0.00539958397873662
2024-04-22,0.0440151163126492,1.0,0.0440151163126492
2024-04-23,0.1790313746686335,1.0,0.1790313746686335
2024-04-24,0.0439701853211399,1.0,0.0439701853211399
2024-04-25,0.0684347480602064,1.0,0.0684347480602064
2024-04-26,0.0607992675444387,1.0,0.0607992675444387
2024-04-29,-0.0295589496033037,1.0,-0.0295589496033037
2024-04-30,0.1063511185884976,1.0,0.1063511185884976
2024-05-06,0.0515647259138679,1.0,0.0515647259138679
