Date,ret,limit_weight_share,one_line_like_weight_share,n_limit,n_one_line_like,protocol
2024-01-02,-0.06751858823851342,0.0,0.0,0.0,0.0,include_all
2024-01-03,-0.009340024994377276,0.0,0.0,0.0,0.0,include_all
2024-01-04,0.018817231569843457,0.0,0.0,0.0,0.0,include_all
2024-01-05,0.04493196428015312,0.0,0.0,0.0,0.0,include_all
2024-01-08,0.0790056842129645,0.0,0.0,0.0,0.0,include_all
2024-01-09,0.08417432524366836,0.0,0.0,0.0,0.0,include_all
2024-01-10,-0.01335869516511728,0.0,0.0,0.0,0.0,include_all
2024-01-11,0.10179538068657572,0.0,0.0,0.0,0.0,include_all
2024-01-12,0.06382493825272814,0.0,0.0,0.0,0.0,include_all
2024-01-15,-0.10690104104007792,0.0,0.0,0.0,0.0,include_all
2024-01-16,0.21465698429829655,0.0,0.0,0.0,0.0,include_all
2024-01-17,0.16070406804782864,0.0,0.0,0.0,0.0,include_all
2024-01-18,0.04410669986401873,0.0,0.0,0.0,0.0,include_all
2024-01-19,-0.015251681284818467,0.0,0.0,0.0,0.0,include_all
2024-01-22,-0.1069380658414929,0.0,0.0,0.0,0.0,include_all
2024-01-23,0.027075167924851075,0.0,0.0,0.0,0.0,include_all
2024-01-24,-0.014732145527940775,0.0,0.0,0.0,0.0,include_all
2024-01-25,-0.02645181114961149,0.0,0.0,0.0,0.0,include_all
2024-01-26,-0.026943810313539953,0.0,0.0,0.0,0.0,include_all
2024-01-29,-0.04684621311511477,0.0,0.0,0.0,0.0,include_all
2024-01-30,-0.14180155855890952,0.0,0.0,0.0,0.0,include_all
2024-01-31,-0.14793910020509296,0.0,0.0,0.0,0.0,include_all
2024-02-01,0.03777222107819116,0.0,0.0,0.0,0.0,include_all
2024-02-02,-0.03020784121800208,0.0,0.0,0.0,0.0,include_all
2024-02-05,0.0863784403562173,0.0,0.0,0.0,0.0,include_all
2024-02-06,0.06662709015774322,0.0,0.0,0.0,0.0,include_all
2024-02-07,0.12653736223596837,0.0,0.0,0.0,0.0,include_all
2024-02-08,0.19636396985586194,0.0,0.0,0.0,0.0,include_all
2024-02-19,0.27913618494088593,0.0,0.0,0.0,0.0,include_all
2024-02-20,0.28475649511364454,0.0,0.0,0.0,0.0,include_all
2024-02-21,0.02877510973513965,0.0,0.0,0.0,0.0,include_all
2024-02-22,0.07530628572514021,0.0,0.0,0.0,0.0,include_all
2024-02-23,0.03938760363041779,0.0,0.0,0.0,0.0,include_all
2024-02-26,0.016605310309024977,0.0,0.0,0.0,0.0,include_all
2024-02-27,0.16364123116126666,0.0,0.0,0.0,0.0,include_all
2024-02-28,0.11807341056492313,0.0,0.0,0.0,0.0,include_all
2024-02-29,0.026484311351967414,0.0,0.0,0.0,0.0,include_all
2024-03-01,0.16671158709711423,0.0,0.0,0.0,0.0,include_all
2024-03-04,0.11099858642308845,0.0,0.0,0.0,0.0,include_all
2024-03-05,0.03116015946369665,0.0,0.0,0.0,0.0,include_all
2024-03-06,-0.014050992335466453,0.0,0.0,0.0,0.0,include_all
2024-03-07,-0.03890445758847163,0.0,0.0,0.0,0.0,include_all
2024-03-08,0.032057205668678986,0.0,0.0,0.0,0.0,include_all
2024-03-11,0.08154096237671665,0.0,0.0,0.0,0.0,include_all
2024-03-12,0.029903012679531146,0.0,0.0,0.0,0.0,include_all
2024-03-13,0.007771187577468646,0.0,0.0,0.0,0.0,include_all
2024-03-14,-0.04887345924122353,0.0,0.0,0.0,0.0,include_all
2024-03-15,0.02441620158335734,0.0,0.0,0.0,0.0,include_all
2024-03-18,-0.056703296862772305,0.0,0.0,0.0,0.0,include_all
2024-03-19,0.020730359158858284,0.0,0.0,0.0,0.0,include_all
2024-03-20,-0.07470621340040191,0.0,0.0,0.0,0.0,include_all
2024-03-21,-0.07175525611812122,0.0,0.0,0.0,0.0,include_all
