protocol,model,n_days,mean_ret,std_ret,ann_ret_like,ann_sharpe_like,sortino_like,calmar_like,max_drawdown_like,worst_5pct_day_mean,positive_day_ratio,description,renorm,haircut,limit_weight_share_mean,one_line_like_weight_share_mean,n_limit_mean,n_one_line_like_mean,note
include_all,Action Admission Base,557,0.041598,0.094168,2.096541,3.136069,9.89111,3.84697,-0.544985,-0.09668,0.62298,include all selected names,False,1.0,0.240024,0.0985,6.29623,0.843806,Limit-up is not treated as mechanically untradable; one-line-like proxy and haircut rows are execution sensitivity diagnostics.
one_line_like_haircut_50,Action Admission Base,557,0.033773,0.077499,1.702164,3.093804,8.632509,3.124983,-0.544696,-0.087736,0.615799,"one-line-like proxy weight haircut 50%, no renorm",False,0.5,0.240024,0.0985,6.29623,0.843806,Limit-up is not treated as mechanically untradable; one-line-like proxy and haircut rows are execution sensitivity diagnostics.
one_line_like_haircut_20,Action Admission Base,557,0.029078,0.072005,1.465538,2.866962,7.460314,2.672913,-0.548292,-0.087071,0.61939,"one-line-like proxy weight haircut 80%, no renorm",False,0.2,0.240024,0.0985,6.29623,0.843806,Limit-up is not treated as mechanically untradable; one-line-like proxy and haircut rows are execution sensitivity diagnostics.
exclude_one_line_like_no_renorm,Action Admission Base,557,0.025948,0.070783,1.307787,2.602514,6.642159,2.368213,-0.552225,-0.086921,0.601436,"exclude one-line-like proxy, no renorm",False,1.0,0.240024,0.0985,6.29623,0.843806,Limit-up is not treated as mechanically untradable; one-line-like proxy and haircut rows are execution sensitivity diagnostics.
exclude_one_line_like_renorm,Action Admission Base,557,0.032689,0.085214,1.64752,2.723367,7.905144,2.817858,-0.584671,-0.096298,0.601436,"exclude one-line-like proxy, renorm",True,1.0,0.240024,0.0985,6.29623,0.843806,Limit-up is not treated as mechanically untradable; one-line-like proxy and haircut rows are execution sensitivity diagnostics.
limit_up_haircut_50,Action Admission Base,557,0.031335,0.068715,1.579287,3.23738,9.52748,4.001095,-0.394714,-0.072711,0.61939,"all limit-up proxy weight haircut 50%, no renorm",False,0.5,0.240024,0.0985,6.29623,0.843806,Limit-up is not treated as mechanically untradable; one-line-like proxy and haircut rows are execution sensitivity diagnostics.
limit_up_haircut_20,Action Admission Base,557,0.025177,0.059323,1.268934,3.012999,7.957142,3.194831,-0.397184,-0.067601,0.610413,"all limit-up proxy weight haircut 80%, no renorm",False,0.2,0.240024,0.0985,6.29623,0.843806,Limit-up is not treated as mechanically untradable; one-line-like proxy and haircut rows are execution sensitivity diagnostics.
exclude_limit_up_no_renorm,Action Admission Base,557,0.021072,0.057035,1.062033,2.622903,6.443169,2.577116,-0.412101,-0.06754,0.599641,"exclude all limit-up proxy, stress upper bound",False,1.0,0.240024,0.0985,6.29623,0.843806,Limit-up is not treated as mechanically untradable; one-line-like proxy and haircut rows are execution sensitivity diagnostics.
exclude_limit_up_renorm,Action Admission Base,557,0.037533,0.101086,1.891675,2.635981,7.563249,3.357639,-0.563394,-0.112572,0.599641,"exclude all limit-up proxy, renorm",True,1.0,0.240024,0.0985,6.29623,0.843806,Limit-up is not treated as mechanically untradable; one-line-like proxy and haircut rows are execution sensitivity diagnostics.
