Date,ret,turnover,effective_n,setting,value
2024-01-02,-0.06776858826605987,0.5000000000000001,3.7309546198222066,TopK,10.0
2024-01-03,-0.009840024993838773,1.0,4.180028978749619,TopK,10.0
2024-01-04,0.018317231575674695,0.9999999999999999,2.61930411441871,TopK,10.0
2024-01-05,0.044431964280345036,1.0,2.1682896008471846,TopK,10.0
2024-01-08,0.07850568422002639,1.0,1.392895141712398,TopK,10.0
2024-01-09,0.08367432649339326,1.0,3.2500270911120515,TopK,10.0
2024-01-10,-0.013858695788537217,0.9999999999999999,1.5775863153942382,TopK,10.0
2024-01-11,0.10129538068727804,0.9999999999999999,2.7087782221210013,TopK,10.0
2024-01-12,0.06332493825250178,1.0,3.587924827669794,TopK,10.0
2024-01-15,-0.10740104104382295,1.0,2.7152599811468034,TopK,10.0
2024-01-16,0.21415698429744714,1.0,2.7218600481050723,TopK,10.0
2024-01-17,0.1602040680478306,1.0,2.367054935009376,TopK,10.0
2024-01-18,0.04360669986428953,0.9999999999999999,2.9638681681629833,TopK,10.0
2024-01-19,-0.01575168128453283,1.0,2.763825628805517,TopK,10.0
2024-01-22,-0.10743806584097201,1.0,2.3918665773559806,TopK,10.0
2024-01-23,0.026575167929788313,0.9999999999999999,1.1595222894343458,TopK,10.0
2024-01-24,-0.015232145629472458,0.9999999999999999,4.854259655169957,TopK,10.0
2024-01-25,-0.026951811146750958,0.9999999999999999,3.875800433349535,TopK,10.0
2024-01-26,-0.027443810306535307,1.0,5.840080948884196,TopK,10.0
2024-01-29,-0.047346213115102544,1.0,3.3423171110758707,TopK,10.0
2024-01-30,-0.14234690818846515,1.0,1.660247530998983,TopK,10.0
2024-01-31,-0.15000448464892366,1.0,2.5200910677441555,TopK,10.0
2024-02-01,0.03728390537435192,1.0,1.0017354781102472,TopK,10.0
2024-02-02,-0.030714338917827523,1.0,1.0199853502743903,TopK,10.0
2024-02-05,0.08587844043713923,0.9999999999999999,1.1008715563053155,TopK,10.0
2024-02-06,0.06612707651365887,0.9999999999999999,2.1718002086885453,TopK,10.0
2024-02-07,0.12603736223552678,1.0,1.202163696003633,TopK,10.0
2024-02-08,0.19586476587439994,0.9999999999999999,2.208204524106199,TopK,10.0
2024-02-19,0.2786361855550308,0.9999999999999999,2.835047732376818,TopK,10.0
2024-02-20,0.28425651132379126,1.0,1.2549301557274253,TopK,10.0
2024-02-21,0.028275126844405366,0.9999999999999999,2.133490584847717,TopK,10.0
2024-02-22,0.07480634041481798,0.9999999999999999,3.131954063048998,TopK,10.0
2024-02-23,0.03888760363058002,1.0,2.009745098618734,TopK,10.0
2024-02-26,0.016105310308880526,0.9999999999999999,3.3608246859873137,TopK,10.0
2024-02-27,0.163141231162991,0.9999999999999999,1.0069029531927318,TopK,10.0
2024-02-28,0.1175734105668957,1.0,1.2291649511405955,TopK,10.0
2024-02-29,0.025984311382063096,1.0,2.000414387946398,TopK,10.0
2024-03-01,0.16621158713766576,1.0,1.0229861068644766,TopK,10.0
2024-03-04,0.11049858643176158,1.0,1.015394214772927,TopK,10.0
2024-03-05,0.030660149804754032,1.0,1.9531399302353338,TopK,10.0
2024-03-06,-0.014550992335398574,1.0,2.65495255220682,TopK,10.0
2024-03-07,-0.039404457591065575,1.0,2.071893063416852,TopK,10.0
2024-03-08,0.03155720538900789,1.0,1.0685888561453274,TopK,10.0
2024-03-11,0.08104096256056435,1.0,1.277126583676988,TopK,10.0
2024-03-12,0.029403012679436177,1.0000000000000002,2.993648982496726,TopK,10.0
2024-03-13,0.007271187577335691,1.0000000000000002,3.0428019647336564,TopK,10.0
2024-03-14,-0.04937345924119378,1.0,2.2157080783722507,TopK,10.0
2024-03-15,0.02391620158334556,1.0,2.0659507027238906,TopK,10.0
2024-03-18,-0.057203296862732705,0.9999999999999999,1.039760851666871,TopK,10.0
2024-03-19,0.020230359158994446,1.0,2.5888750378068246,TopK,10.0
2024-03-20,-0.07520621340041092,1.0,2.0422723147203734,TopK,10.0
2024-03-21,-0.07225525611767504,1.0,1.421890953353825,TopK,10.0
2024-03-22,0.05289319485744142,1.0,2.0368893550722014,TopK,10.0
2024-03-25,0.023411079903838946,1.0,1.0168811300866525,TopK,10.0
2024-03-26,0.1393646363861416,0.9999999999999999,1.30865308335085,TopK,10.0
2024-03-27,-0.07584280530632917,1.0,1.8317046538889943,TopK,10.0
2024-03-28,-0.03528234103079658,1.0,3.226738059294259,TopK,10.0
2024-03-29,-0.02734681319585286,1.0,3.3682476150584675,TopK,10.0
2024-04-01,0.049572578790417814,1.0000000000000002,3.5375544897817623,TopK,10.0
2024-04-02,-0.02618388443937846,1.0000000000000002,4.893559917626042,TopK,10.0
2024-04-03,-0.04999903020694623,1.0,1.3505743428638832,TopK,10.0
2024-04-08,-0.03169476864114562,1.0,2.414688476710635,TopK,10.0
2024-04-09,-0.08830280320544992,1.0,3.724502246328189,TopK,10.0
2024-04-10,-0.034421603779903547,1.0,1.5227761387597876,TopK,10.0
2024-04-11,-0.06676032332196125,1.0,2.461160944151783,TopK,10.0
2024-04-12,-0.12968537702110014,1.0,1.487786021851464,TopK,10.0
2024-04-15,-0.03533155488651677,1.0,4.214885589246889,TopK,10.0
2024-04-16,-0.0035555118234478385,1.0,1.9736537926914504,TopK,10.0
2024-04-17,-0.0031978209125918125,1.0,2.42401674335778,TopK,10.0
2024-04-18,-0.02710592561692038,1.0,3.384282453393651,TopK,10.0
2024-04-19,0.043978894944076904,1.0,3.4377260564307277,TopK,10.0
2024-04-22,0.178769362838095,1.0,2.75177313826446,TopK,10.0
2024-04-23,0.04378765967776716,1.0,3.165390126383375,TopK,10.0
2024-04-24,0.06825699321008592,0.9999999999999999,2.076378134919128,TopK,10.0
2024-04-25,0.06065985095882077,1.0,3.9331717063476224,TopK,10.0
2024-04-26,-0.029558973293239532,1.0,2.563814273818351,TopK,10.0
2024-04-29,0.10635111818935498,1.0,3.8825587836707247,TopK,10.0
2024-04-30,0.05148221695840129,1.0,3.850061548240423,TopK,10.0
2024-05-06,0.014146504590034522,0.9999999999999999,5.248327456407675,TopK,10.0
2024-05-07,0.020349935082677937,1.0,2.8430358196058974,TopK,10.0
2024-05-08,-0.02422395179055675,1.0,4.224805449572645,TopK,10.0
2024-05-09,-0.05656710571921315,1.0,5.036246853619068,TopK,10.0
2024-05-10,-0.06839702580666787,1.0,2.993739366477083,TopK,10.0
2024-05-13,-0.08898889939262233,1.0,1.0009400049830786,TopK,10.0
2024-05-14,0.005110634580999581,1.0,1.2476971828842467,TopK,10.0
2024-05-15,0.0023455967017580945,1.0,1.2586281934231878,TopK,10.0
2024-05-16,-0.034247911473846544,1.0,2.559856045954253,TopK,10.0
2024-05-17,-0.035227755672488446,1.0,2.616732925808502,TopK,10.0
2024-05-20,0.001988538333891352,1.0,4.149284566419844,TopK,10.0
2024-05-21,-0.019359451645309573,1.0000000000000002,2.0996325536778992,TopK,10.0
2024-05-22,-0.04532462008808228,1.0,1.7789371222689543,TopK,10.0
2024-05-23,-0.049991217630674885,1.0,1.613817742884261,TopK,10.0
2024-05-24,0.025388919678884785,1.0000000000000002,1.8240627309472588,TopK,10.0
2024-05-27,-0.057358603346005496,1.0000000000000002,1.7561246196962124,TopK,10.0
2024-05-28,-0.06740621222691344,1.0000000000000002,2.0308205395029377,TopK,10.0
2024-05-29,-0.050403996043802295,1.0,2.025870031591114,TopK,10.0
2024-05-30,-0.04248463388349068,0.9999999999999999,3.2596055027656825,TopK,10.0
2024-05-31,-0.07995380873871506,0.9999999999999998,2.5107006296326895,TopK,10.0
2024-06-03,-0.013805589043962934,0.9999999999999999,2.3839825117139806,TopK,10.0
2024-06-04,0.27419542765352284,0.9999999999999999,1.211488518812827,TopK,10.0
2024-06-05,-0.021687228969619502,1.0,1.011106807374365,TopK,10.0
2024-06-06,0.05529188720588216,1.0,4.5384999065239855,TopK,10.0
2024-06-07,-0.02124600877163295,1.0,2.8306651634567404,TopK,10.0
2024-06-11,0.02822769667383932,1.0,2.039066285266839,TopK,10.0
2024-06-12,0.040218410181420104,1.0,3.033669909286808,TopK,10.0
2024-06-13,-0.02174488248370346,1.0,2.9676191962350322,TopK,10.0
2024-06-14,-0.0324807311339307,1.0,2.6123811347780115,TopK,10.0
2024-06-17,-0.05489009249733817,1.0,1.0404372210647506,TopK,10.0
2024-06-18,-0.02962357328818336,1.0,1.0000001870324744,TopK,10.0
2024-06-19,-0.019203963285006606,1.0,1.935570910326767,TopK,10.0
2024-06-20,0.02846229704947037,0.9999999999999999,2.9287781822459524,TopK,10.0
2024-06-21,0.10944539444740062,0.9999999999999999,2.000000618087449,TopK,10.0
2024-06-24,0.08606002100742706,0.9999999999999999,2.2300205884316173,TopK,10.0
2024-06-25,0.07670533743260907,0.9999999999999999,2.827407094414056,TopK,10.0
2024-06-26,0.05493404041118539,1.0,2.2549207865400307,TopK,10.0
2024-06-27,-0.023272827117715306,1.0,2.8651200379120603,TopK,10.0
2024-06-28,0.11211239611017475,1.0,2.931323008484653,TopK,10.0
2024-07-01,0.036412492047323664,0.9999999999999999,4.754237395673405,TopK,10.0
2024-07-02,-0.007804653902655092,0.9999999999999999,5.352223062200487,TopK,10.0
2024-07-03,-0.034760273159625606,1.0,4.545562832727913,TopK,10.0
2024-07-04,-0.04860619534898475,1.0,3.0002521924544028,TopK,10.0
2024-07-05,-0.004914058354802845,0.9999999999999999,1.8566178029720646,TopK,10.0
2024-07-08,-0.0010964210686815789,1.0,1.0088940196424327,TopK,10.0
2024-07-09,0.04070680040702126,1.0,1.1216156664669692,TopK,10.0
2024-07-10,0.23317975775444788,0.9999999999999999,2.2590616568635995,TopK,10.0
2024-07-11,0.09644337462176288,1.0,2.0551821187212513,TopK,10.0
2024-07-12,0.05180039324865331,1.0,3.3573335453831006,TopK,10.0
2024-07-15,0.012035220572432058,0.9999999999999999,2.8094530809229012,TopK,10.0
2024-07-16,0.00837273906363869,0.9999999999999999,2.306290782394699,TopK,10.0
2024-07-17,-0.027763602322705697,0.9999999999999999,3.9609593743494838,TopK,10.0
2024-07-18,-0.06361791521456053,0.9999999999999999,2.294789404634922,TopK,10.0
2024-07-19,-0.04187879869018476,0.9999999999999999,2.846774026115613,TopK,10.0
2024-07-22,-0.07763179594698721,0.9999999999999999,1.9815182206948914,TopK,10.0
2024-07-23,0.2637382572186292,0.9999999999999999,2.1393196218120174,TopK,10.0
2024-07-24,0.10278074002924639,1.0,2.00926682111133,TopK,10.0
2024-07-25,0.0334630220244746,0.9999999999999999,1.9402075285304718,TopK,10.0
2024-07-26,0.04320642743289541,1.0,1.7544601186630806,TopK,10.0
2024-07-29,0.05018921567446108,1.0,3.2728231578699787,TopK,10.0
2024-07-30,0.024614412078844017,0.9999999999999999,2.060064716195229,TopK,10.0
2024-07-31,-0.00267586992173604,1.0,1.4182159451223224,TopK,10.0
2024-08-01,-0.03645255060679791,1.0,2.568161868416285,TopK,10.0
2024-08-02,-0.08110942715529199,1.0,3.0407360429274437,TopK,10.0
2024-08-05,-0.005631657956298757,1.0000000000000002,2.035508810958934,TopK,10.0
2024-08-06,0.029656772928969066,1.0000000000000002,1.5068457251103589,TopK,10.0
2024-08-07,-0.039666986221577605,1.0,4.444995446084248,TopK,10.0
2024-08-08,-0.04571589998715786,1.0,5.649432815900214,TopK,10.0
2024-08-09,-0.05069637119624488,1.0,2.1399809918034665,TopK,10.0
2024-08-12,0.012618412996475719,1.0,3.7182617783308602,TopK,10.0
2024-08-13,-0.020056755643081813,0.9999999999999999,2.0011980156256852,TopK,10.0
2024-08-14,0.01609444365163921,0.9999999999999999,4.172391762743761,TopK,10.0
2024-08-15,-0.033154729832273806,1.0,1.0033963247189888,TopK,10.0
2024-08-16,-0.08412304240970583,1.0,2.282287853624421,TopK,10.0
2024-08-19,0.21258289536543568,0.9999999999999999,1.8213688273250477,TopK,10.0
2024-08-20,0.06080696035364945,0.9999999999999999,2.269995398265084,TopK,10.0
