model,n_days,mean_ret,std_ret,ann_ret_like,ann_sharpe_like,sortino_like,calmar_like,max_drawdown_like,worst_5pct_day_mean,positive_day_ratio,kind,seed
Random Top30 seed2068,557,0.002785,0.022392,0.140347,0.882888,1.35542,0.293356,-0.47842,-0.047158,0.572711,random_top30,2068.0
Random Top30 seed2069,557,0.002653,0.023352,0.133693,0.80642,1.18782,0.255215,-0.523845,-0.04976,0.567325,random_top30,2069.0
Random Top30 seed2070,557,0.002617,0.022827,0.131913,0.813998,1.23317,0.25811,-0.511074,-0.048295,0.545781,random_top30,2070.0
Random Top30 seed2071,557,0.002304,0.022575,0.116136,0.724625,1.08878,0.227652,-0.510145,-0.047676,0.561939,random_top30,2071.0
Random Top30 seed2072,557,0.002801,0.022304,0.141195,0.89172,1.325807,0.291285,-0.484732,-0.04771,0.574506,random_top30,2072.0
Random Top30 seed2073,557,0.002634,0.022504,0.132739,0.830866,1.29073,0.265247,-0.500436,-0.046958,0.551167,random_top30,2073.0
Random Top30 seed2074,557,0.003003,0.022515,0.151345,0.946858,1.437034,0.298812,-0.50649,-0.047302,0.572711,random_top30,2074.0
Random Top30 seed2075,557,0.002647,0.022704,0.133419,0.827765,1.205776,0.264882,-0.503692,-0.04922,0.570916,random_top30,2075.0
Shuffled selected-ledger seed2026,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2026.0
Shuffled selected-ledger seed2027,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2027.0
Shuffled selected-ledger seed2028,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2028.0
Shuffled selected-ledger seed2029,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2029.0
