kind,model,n_runs,mean_ret_mean,ann_sharpe_mean,maxdd_mean,worst5_mean,mean_ret_std,ann_sharpe_std
model,Action Admission Base,1,0.04385216730542529,3.51600295164968,-0.5542686967028548,-0.08907209887530808,0.0,0.0
model,SPD-Riemannian PPO Gate,1,0.04006286773624636,3.442246287311091,-0.3027130017034604,-0.07563268406173952,0.0,0.0
random_top30,random_top30,50,0.0026379629613441495,0.8239940742037762,-0.5040510940559839,-0.048212528536687387,0.00022073977527575976,0.07340535359241322
shuffled_selected_ledger,shuffled_selected_ledger,50,0.00011799111396761504,2.499544269039534,-0.00804179235729019,-0.000571153969880016,6.134640289926132e-20,1.4742429548397458e-15
