model,n_days,mean_ret,std_ret,ann_ret_like,ann_sharpe_like,sortino_like,calmar_like,max_drawdown_like,worst_5pct_day_mean,positive_day_ratio,gate_mean,protocol
Fixed gate 0.2,1041,0.008770433461085058,0.017708716905193135,0.4420298464386869,3.5160029514908433,10.781276742914216,3.230826140920048,-0.13681635196650022,-0.017814419775061614,0.6637848222862632,0.2,fixed_exposure
Fixed gate 0.4,1041,0.017540866922170117,0.03541743380938627,0.8840596928773738,3.516002951590116,10.781276743847629,3.404988058115722,-0.2596366500523357,-0.03562883955012323,0.6637848222862632,0.4,fixed_exposure
Fixed gate 0.6,1041,0.02631130038325517,0.0531261507135794,1.3260895393160606,3.516002951623207,10.781276744158768,3.582898052565715,-0.37011645876065247,-0.05344325932518482,0.6637848222862632,0.6,fixed_exposure
Fixed gate 0.8,1041,0.035081733844340234,0.07083486761777255,1.7681193857547477,3.5160029516397526,10.781276744314336,3.7769887843367984,-0.4681293714948671,-0.07125767910024645,0.6637848222862632,0.8,fixed_exposure
Fixed gate 1.0,1041,0.04385216730542529,0.08854358452196567,2.210149232193434,3.51600295164968,10.781276744407679,3.987505059082025,-0.5542686967028548,-0.08907209887530808,0.6637848222862632,1.0,fixed_exposure
SPD-Riemannian PPO Gate,557,0.04006286773624636,0.08262573985171011,2.019168533906816,3.442246287311091,11.578491270693624,6.67024053325865,-0.3027130017034604,-0.07563268406173952,0.6193895870736086,0.7590664272890485,dynamic_exposure
Vanilla PPO Gate,557,0.03891474368796459,0.08288999946114485,1.9613030818734152,3.332938543518108,10.765518799667756,5.621640459933907,-0.3488844752438106,-0.07885758570350083,0.6193895870736086,0.7971274685816876,dynamic_exposure
Current PG Gate,557,0.04098213768295932,0.08671180401567095,2.0654997392211496,3.355302300072686,11.332188375628267,7.130202180453109,-0.2896831936804759,-0.07922299585079783,0.6193895870736086,0.8247755834829443,dynamic_exposure
