group,model,protocol,n_days,mean_ret,ann_sharpe_like,max_drawdown_like,positive_day_ratio,effective_n_mean,effective_n_median,top1_weight_mean,top3_weight_mean,top5_weight_mean,herfindahl_mean,max_weight_mean,max_weight_p95,turnover_mean,day_turnover_mean,std_ret,ann_ret_like,gate_mean,capital_exposure_mean,normalized_effective_n_p10,normalized_effective_n_p50,normalized_effective_n_p90,normalized_effective_n_p95,normalized_max_weight_p10,normalized_max_weight_p50,normalized_max_weight_p90,normalized_max_weight_p95,n_nonzero_1bp_mean,n_nonzero_10bp_mean,n_nonzero_1pct_mean,concentration_note,paper_interpretation
Ours diagnostic,V2X-G Cross-Geometry Overlay,geometry overlay diagnostic,557,0.029842119281922,3.111976921040967,-0.4704490097083782,0.6535008976660682,6.110172698564914,,0.1427432411711316,,,,,,0.7278775521835379,,,,,,,,,,,,,,,,,,"Geometry overlay improves breadth/effective holding number and reduces concentration, at the cost of lower raw return."
Intermediate controller,V2R role-aware TopK30,intermediate frozen test,547,0.0193135990837681,3.3596610639874425,-0.2925549041414436,0.680073126142596,,,,,,,,,0.6621927543232533,,,,,,,,,,,,,,,,,,
Single expert,V2L Frequency-aware Temporal,temporal-only TopK,557,0.0119326343582528,2.4496363224683897,-0.5701373813439101,0.6606822262118492,,,,,,,,,0.685928355859778,,,,,,,,,,,,,,,,,,
Single expert,V2H Factor Tree,cross-section-only TopK,557,0.0097693983652634,2.091605370245792,-0.596876905157578,0.6319569120287253,,,,,,,,,0.7057222816098746,,,,,,,,,,,,,,,,,,
Ours,V2X-B Cross Action Admission,ledger-consistent concentration,557,0.0412343991922589,3.1082819342761634,-0.5542686967028548,0.6193895870736086,3.254704589804362,,0.4596907517240596,0.8850365001004907,0.968071254756784,0.3933876891109307,0.4596907517240596,,,,0.0941790998056812,2.078213719289853,1.0,0.4999999999999998,1.426330836198569,2.9036046524119,5.409655172575627,6.421794364039674,0.2400596355678428,0.4089483154673605,0.8171470366628589,0.9317056318776796,6.308797127468582,5.567324955116697,4.6104129263913824,Base selected portfolio; strong hidden concentration despite nominal Top30.,"Although nominally Top30, the base controller is highly concentrated: low effective holding number and high top-3/top-5 weight explain its large drawdown."
Ours,V2X-RL+ five-level exposure,RL exposure overlay reconstructed on V2X-B holdings,557,0.0409821376829593,3.355302300072686,-0.2896831936804759,0.6193895870736086,3.254704589804362,,0.4596907517240596,0.8850365001004907,0.968071254756784,0.3933876891109307,0.4596907517240596,,,,0.0867118040146709,2.06549973922115,0.8247755834829443,0.4123877917414719,1.426330836198569,2.9036046524119,5.409655172575627,6.421794364039674,0.2400596355678428,0.4089483154673605,0.8171470366628589,0.9317056318776796,6.308797127468582,5.567324955116697,4.6104129263913824,"RL does not reselect stocks; normalized concentration is inherited from V2X-B, while capital exposure is reduced by gate.","RL overlay does not reselect stocks; normalized concentration is inherited from V2X-B, but average capital exposure is reduced through the gate."
