section,n_days,base_ret_mean,rl_ret_mean,gate_mean,reduced_exposure_ratio,full_exposure_ratio
worst20_base_days,20,-0.104338720717496,-0.0579105537542511,0.5599999999999999,0.55,0.45
best20_base_days,20,0.3118502245116071,0.2876140880017214,0.91,0.15,0.85
